pl_hostname,pl_rade,pl_eqt
Kepler-20,1.868,1105
Kepler-20,3.047,772
Kepler-21,1.639,2025
Kepler-22,2.380,262
Kepler-20,2.744,401
K2-3,1.850,344
Kepler-5,15.984,1750
Kepler-6,14.617,1460
Kepler-7,18.181,1630
Kepler-9,1.640,2026
Kepler-10,2.350,584
Kepler-12,19.661,1480
KOI-13,16.948,2550
Kepler-17,14.680,1570
Kepler-36,1.486,978
Kepler-36,3.679,928
Kepler-38,4.300,475
Kepler-39,13.900,897
Kepler-41,14.460,1790
Kepler-42,0.780,519
Kepler-42,0.730,720
Kepler-42,0.570,450
Kepler-51,9.000,439
Kepler-51,9.700,381
Kepler-44,12.220,1544
Kepler-45,10.760,1000
Kepler-46,9.057,543
Kepler-51,7.100,543
Kepler-62,1.310,750
Kepler-62,0.540,578
Kepler-62,1.950,510
Kepler-62,1.410,208
Kepler-69,2.240,779
Kepler-69,1.710,299
Kepler-74,10.760,1078
PH2,10.120,281
Kepler-87,6.140,403
KOI-94,1.710,1486
KOI-94,6.560,584
Kepler-91,15.323,2040
Kepler-101,1.250,1413
Kepler-105,4.810,1418
Kepler-75,11.770,767
Kepler-76,15.244,2140
GU Psc,14.179,1050
2MASS J21402931+1625183 A,10.310,2075
HAT-P-50,14.437,1862
HAT-P-51,14.493,1192
HAT-P-52,11.310,1218
HAT-P-53,14.773,1778
WASP-76,20.512,2160
WASP-90,18.271,1840
K2-29,13.339,1171
HATS-13,13.585,1244
HATS-14,11.646,1276
KELT-10,15.681,1377
HD 219134,1.310,523
K2-26,2.670,430
Kepler-167,1.194,536
Kepler-167,10.150,131
HATS-17,8.709,814
TRAPPIST-1,1.086,400
TRAPPIST-1,1.056,342
TRAPPIST-1,0.772,288
KELT-14,19.537,1970
K2-5,1.910,565
K2-5,2.260,456
K2-7,2.670,651
K2-8,3.580,631
K2-9,2.250,314
K2-19,7.740,854
K2-19,4.860,745
K2-12,2.330,1003
K2-14,4.810,488
K2-15,2.480,676
K2-16,2.020,658
K2-17,2.230,487
K2-18,2.380,235
HAT-P-37,13.204,1271
HAT-P-38,9.247,1082
HAT-P-39,17.609,1752
HAT-P-42,14.348,1428
HAT-P-43,14.359,1361
HAT-P-44,13.922,1108
HAT-P-45,15.984,1652
HAT-P-46,14.392,1458
HAT-P-16,14.448,1626
HAT-P-18,11.153,852
HAT-P-9,15.690,1530
HAT-P-12,10.749,963
CoRoT-1,16.700,1898
CoRoT-4,13.340,1074
CoRoT-5,15.558,1438
CoRoT-6,13.068,1017
Kepler-167,1.615,914
HAT-P-54,10.581,818
HATS-2,13.092,1577
HATS-5,10.223,1025
HATS-6,11.187,713
CoRoT-9,11.949,420
CoRoT-10,10.870,600
CoRoT-12,16.140,1442
CoRoT-13,9.920,1700
CoRoT-14,12.220,1952
CoRoT-18,14.680,1550
CoRoT-19,14.460,2000
CoRoT-23,11.770,1660
CoRoT-24,5.000,850
CoRoT-25,12.110,1330
CoRoT-27,11.287,1500
HAT-P-19,12.689,1010
HAT-P-25,13.339,1202
HAT-P-28,13.585,1384
Kepler-167,1.548,768
Kepler-117,8.059,984
Kepler-117,12.341,704
KELT-4 A,19.044,1823
K2-28,2.320,568
K2-19,1.140,1252
K2-32,5.130,817
K2-32,3.430,537
K2-32,3.010,619
WASP-119,15.693,1600
WASP-124,13.899,1400
WASP-129,10.424,1100
WASP-133,13.563,1790
HATS-8,9.785,1324
HAT-P-1,14.785,1322
Kepler-4,4.002,1650
Kepler-40,13.110,1620
Kepler-428,12.110,1070
Kepler-43,13.664,1620
Kepler-431,0.668,951
Kepler-434,12.670,1000
Kepler-61,2.150,273
Kepler-62,1.610,270
Kepler-77,10.761,1440
Kepler-8,15.872,1680
Kepler-87,13.490,478
PH1,6.180,481
Qatar-2,14.056,1344
WASP-2,12.005,1304
WASP-59,8.687,670
WASP-7,14.908,1487
WTS-2,15.278,2000
WASP-36,14.874,1733
WASP-42,12.576,1021
WASP-46,13.159,1636
WASP-52,14.240,1315
WASP-57,11.769,1338
WASP-64,14.247,1689
WASP-65,12.464,1480
WASP-96,13.450,1285
WASP-98,12.823,1171
WASP-75,14.235,1710
WASP-80,11.198,825
WASP-103,17.127,2508
WASP-104,12.745,1516
WTS-1,16.700,1500
WISEP J121756.91+162640.2 A,10.468,450
XO-5,12.780,1230
HATS-10,10.862,1407
HAT-P-55,13.249,1313
Kepler-452,1.630,265
WASP-120,16.511,1880
WASP-123,14.773,1520
HATS-25,14.123,1277
HATS-26,19.616,1918
HATS-27,16.814,1659
HATS-28,13.384,1253
HATS-29,14.022,1212
HATS-30,13.171,1414
WASP-121,20.905,2358
CT Cha,24.660,2600
CoRoT-11,16.030,1657
CoRoT-17,11.430,1626
CoRoT-20,9.420,1002
CoRoT-24,3.700,1070
CoRoT-26,14.120,1600
GJ 3470,3.880,604
GQ Lup,33.600,2650
K2-38,2.420,858
K2-8,2.410,801
HATS-15,12.386,1505
HATS-16,14.572,1592
WASP-157,11.938,1339
K2-36,1.320,1232
K2-36,2.800,793
K2-37,1.610,974
K2-37,2.750,861
K2-37,2.730,663
K2-98,4.300,1102
HAT-P-4,14.280,1686
HATS-1,14.594,1359
HATS-4,11.433,1315
K2-60,7.656,1400
K2-66,2.490,1372
Kepler-411,1.880,1040
Kepler-412,15.031,1850
XO-6,23.203,1577
K2-11,7.550,734
K2-16,2.540,485
K2-6,2.500,615
Kepler-421,4.160,185
Kepler-423,13.361,1605
Kepler-425,10.962,1070
Kepler-426,12.220,1300
KOI-1257,10.540,511
Kepler-427,13.790,1100
Kepler-430,3.250,667
Kepler-431,0.764,1032
Kepler-431,1.110,856
Kepler-433,16.250,1776
OGLE-TR-056,15.278,2212
OGLE-TR-132,13.450,2013
Qatar-1,12.812,1418
TrES-5,13.384,1480
KELT-17,17.094,2087
WASP-92,16.376,1871
WASP-93,17.901,1942
WASP-118,16.141,1729
HR 2562,12.442,1200
WASP-5,12.184,1706
WASP-10,12.106,1370
WASP-19,15.603,2520
WASP-20,16.388,1379
WASP-28,13.597,1468
Kepler-539,8.373,388
K2-30,11.646,1092
K2-3,1.510,282
KOI-94,4.320,1012
Kepler-10,1.481,2130
Kepler-101,5.770,1513
K2-22,2.500,2100
K2-3,2.180,463
HAT-P-20,9.718,970
HD 219134,1.602,1015
HD 219134,1.511,782
HD 219134,1.610,411
KOI-94,11.270,806
Kepler-130,2.900,683
Kepler-430,1.750,458
WASP-70 A,13.047,1387
K2-13,1.890,511
GJ 1132,1.430,644
K2-27,4.480,902
K2-24,5.830,709
K2-24,8.100,560
WASP-83,11.657,1120
WASP-89,11.657,1120
Qatar-3,12.285,1681
Qatar-4,12.722,1385
Qatar-5,12.408,1415
KELT-18,17.598,2085
K2-110,2.592,640
KELT-9,21.196,4050
K2-113,10.424,1178
K2-107,16.141,1780
WASP-53,12.038,1053
K2-114,10.559,719
K2-115,12.498,682
CoRoTID 223977153,6.389,938
MASCARA-1,16.814,2570
GJ 9827,1.750,1044
GJ 9827,1.360,722
GJ 9827,2.100,605
Kepler-80,1.130,418
KOI-351,1.320,709
HATS-51,15.805,1553
HATS-52,15.491,1834
HATS-53,15.020,1312
KELT-19 A,21.409,1935
HATS-36,13.843,1356
WASP-81,16.018,1623
K2-108,5.280,1446
KELT-16,15.861,2453
TRAPPIST-1,0.918,251
TRAPPIST-1,1.045,219
TRAPPIST-1,1.127,199
TRAPPIST-1,0.752,173
HATS-22,10.682,858
HATS-23,20.849,1654
HATS-24,16.668,2067
LHS 1140,1.430,230
KELT-12,19.952,1800
K2-232,11.209,1030
HATS-39,17.598,1645
HATS-40,17.710,2101
HATS-41,14.908,1710
HATS-42,15.693,1856
K2-229,1.164,1960
K2-229,2.120,800
WASP-85 A,13.899,1452
WASP-113,15.793,1496
WASP-114,15.009,2043
HAT-P-65,21.185,1930
K2-155,1.800,708
K2-155,2.600,583
K2-155,1.900,381
KELT-21,17.777,2051
K2-136,0.990,553
K2-136,2.910,425
K2-136,1.450,373
KELT-11,15.356,1712
K2-137,0.890,1471
Kepler-1652,1.600,268
HIP 65426,16.814,1500
KELT-20,19.515,2262
NGTS-1,14.908,790
K2-139,9.057,565
K2-140,12.274,1114
Kepler-1654,9.180,206
K2-233,1.335,728
K2-233,2.640,482
KPS-1,11.545,1459
K2-233,1.398,1040
HATS-43,13.227,1003
HATS-44,11.960,1161
HATS-45,14.415,1518
HATS-46,10.122,1054
HATS-7,6.311,1084
HAT-P-66,17.822,1896
HATS-18,14.986,2060
WASP-130,9.976,833
WASP-131,13.675,1460
WASP-132,9.752,763
WASP-139,8.967,910
WASP-140,16.141,1320
WASP-141,13.563,1540
WASP-142,17.150,2000
HATS-31,18.383,1823
WASP-127,15.356,1400
HATS-32,14.000,1437
HATS-33,13.787,1429
HATS-34,16.029,1445
HATS-35,16.410,2037
WASP-136,15.468,1742
WASP-138,12.218,1590
CoRoT-22,4.880,885
Kepler-435,22.310,1729
WASP-151,12.666,1290
WASP-153,17.374,1700
WASP-167,17.710,2329
WASP-91,11.545,1160
WASP-105,10.761,900
WASP-107,10.536,770
WASP-156,5.717,970
EPIC 220674823,2.770,722
HD 106315,2.400,1146
HD 106315,4.400,874
HAT-P-67,23.371,1903
K2-111,1.900,1309
WASP-126,10.761,1480
WASP-84,10.559,797
EPIC 220674823,1.820,2063
